beginTime,endTime,timePeriod,openPrice,closePrice,highPrice,lowPrice,amount,volume,trades
1624646135.000513000,1624646140.000513000,5.000000000,32061.74,32074.01,32074.01,31937.0,1711.4340997,0.053379,12
1624646140.032208000,1624646145.032208000,5.000000000,32074.01,32081.7,32086.96,31937.0,1692.19132135,0.052771,12
1624646145.003219000,1624646150.003219000,5.000000000,32081.7,32259.0,32259.0,32075.62,1692.55665761,0.052753,12
1624646150.005008000,1624646155.005008000,5.000000000,32259.0,32082.59,32259.0,31937.0,743.81902224,0.023184,9
1624646155.002307000,1624646160.002307000,5.000000000,32082.59,32069.49,32087.68,32069.35,773.98179947,0.024132,13
1624646160.002575000,1624646165.002575000,5.000000000,32069.49,31937.0,32259.0,31937.0,1712.04682669,0.053379,13
1624646165.002696000,1624646170.002696000,5.000000000,31937.0,32093.03,32093.1,31937.0,2160.36569149,0.067328,15
1624646170.002951000,1624646175.002951000,5.000000000,32093.03,32097.06,32104.02,31937.0,1680.22245002,0.05235,13
1624646175.001785000,1624646180.001785000,5.000000000,32097.06,32127.51,32127.51,31937.0,2180.39558681,0.067897,16
1624646180.002735000,1624646185.002735000,5.000000000,32127.51,32107.62,32129.0,32107.62,776.8779173,0.02419,10
1624646185.002447000,1624646190.002447000,5.000000000,32107.62,32117.97,32259.0,32107.62,789.19004388,0.024574,10
1624646190.004179000,1624646195.004179000,5.000000000,32117.97,32124.11,32124.11,32116.3,1128.50908696,0.035135,10
1624646195.002499000,1624646200.002499000,5.000000000,32124.11,32129.92,32129.92,32107.62,1160.66606012,0.036134,11
1624646200.002911000,1624646205.002911000,5.000000000,32129.92,32107.62,32129.92,32107.62,1256.94338802,0.039135,12
1624646205.002346000,1624646210.002346000,5.000000000,32107.62,32111.79,32119.12,32107.62,1192.6916564,0.037144,9
1624646210.002478000,1624646215.002478000,5.000000000,32111.79,32110.01,32120.0,32107.62,1192.73737724,0.037142,11
1624646215.007277000,1624646220.007277000,5.000000000,32110.01,32110.01,32113.26,32107.62,1143.43466794,0.035609,13
1624646220.002588000,1624646225.002588000,5.000000000,32110.01,32128.57,32128.57,32107.62,2096.43574551,0.065268,14
1624646225.003066000,1624646230.003066000,5.000000000,32128.57,32137.18,32142.31,32107.62,783.46764318,0.024382,13
1624646230.002644000,1624646235.002644000,5.000000000,32137.18,32109.33,32137.19,32109.33,256.94712,0.008,8
1624646235.002616000,1624646240.002616000,5.000000000,32109.33,32107.62,32109.34,32107.62,756.91437388,0.023574,9
1624646240.002833000,1624646245.002833000,5.000000000,32107.62,32107.62,32259.0,32107.62,1725.12211594,0.053718,12
1624646245.003109000,1624646250.003109000,5.000000000,32107.62,32156.98,32259.0,32107.62,1692.98917187,0.052658,13
1624646250.002319000,1624646255.002319000,5.000000000,32156.98,32143.42,32156.99,32140.54,1192.8796623,0.03711,9
