beginTime,endTime,timePeriod,openPrice,closePrice,highPrice,lowPrice,amount,volume,trades
1625586900.003158000,1625586960.003158000,60.000000000,34060.0,34053.61,34080.34,34049.99,13280.11321175,0.389853,30
1625586960.004865000,1625587020.004865000,60.000000000,34053.61,34061.08,34109.99,34048.08,9127.28745445,0.267963,24
1625587020.001926000,1625587080.001926000,60.000000000,34061.08,34059.99,34069.99,34037.27,7924.36221703,0.232692,20
1625587080.001880000,1625587140.001880000,60.000000000,34059.99,34040.6,34070.51,34040.01,8690.84494453,0.255192,22
1625587140.002172000,1625587200.002172000,60.000000000,34040.6,34059.99,34059.99,34010.0,10297.05080197,0.302574,20
1625587200.002106000,1625587260.002106000,60.000000000,34059.99,34117.51,34143.73,34059.43,14632.80981301,0.42908,37
1625587260.001955000,1625587320.001955000,60.000000000,34117.51,34040.01,34174.99,34040.01,26539.46490765,0.778574,52
1625587320.001873000,1625587380.001873000,60.000000000,34040.01,33970.24,34040.01,33970.24,21806.78185578,0.641658,50
1625587380.002623000,1625587440.002623000,60.000000000,33970.24,33978.61,33990.24,33965.62,12702.12688776,0.373848,27
1625587440.002372000,1625587500.002372000,60.000000000,33978.61,33987.6,34024.99,33974.98,15764.72189095,0.463837,32
1625587500.002112000,1625587560.002112000,60.000000000,33987.6,34112.88,34125.92,33987.6,15243.29861774,0.446975,40
1625587560.001895000,1625587620.001895000,60.000000000,34112.88,34149.99,34149.99,34067.53,9059.41156401,0.265742,22
1625587620.002030000,1625587680.002030000,60.000000000,34149.99,34041.7,34149.99,34041.7,16561.91858525,0.486184,42
1625587680.001818000,1625587740.001818000,60.000000000,34041.7,34006.42,34061.56,34006.42,8749.87988647,0.257037,25
1625587740.006842000,1625587800.006842000,60.000000000,34006.42,33982.27,34020.1,33975.0,14842.38246375,0.436564,36
1625587800.002752000,1625587860.002752000,60.000000000,33982.27,33985.69,34024.99,33968.77,4888.72780908,0.143891,13
1625587800.002752000,1625587860.002752000,60.000000000,33982.27,33888.31,34024.99,33884.66,6615.08119107,0.194835,4
1625587800.002752000,1625587860.002752000,60.000000000,33982.27,33840.77,34024.99,33830.65,15925.21672125,0.469969,22
1625587800.002752000,1625587860.002752000,60.000000000,33982.27,33862.66,34024.99,33830.65,22593.29921455,0.666885,17
1625590620.014745000,1625590680.014745000,60.000000000,33862.66,33927.01,33927.01,33862.66,5376.97168369,0.158679,15
1625590680.002926000,1625590740.002926000,60.000000000,33927.01,34059.99,34059.99,33927.01,8434.09577074,0.248202,21
1625590740.001972000,1625590800.001972000,60.000000000,34059.99,34003.52,34074.99,34003.21,18656.33240877,0.54833,41
1625590800.001999000,1625590860.001999000,60.000000000,34003.52,33944.99,34003.52,33944.99,20993.28551735,0.617985,40
1625590860.001647000,1625590920.001647000,60.000000000,33944.99,33949.99,33958.22,33933.44,17076.52247608,0.503065,42
1625590920.002424000,1625590980.002424000,60.000000000,33949.99,33945.03,33949.99,33933.48,16426.62491767,0.483993,43
1625590920.002424000,1625590980.002424000,60.000000000,33949.99,33799.25,33949.99,33792.62,32877.79343365,0.970213,40
1625591160.011740000,1625591220.011740000,60.000000000,33799.25,33822.93,33848.89,33799.24,11859.08103258,0.350648,28
1625591220.002978000,1625591280.002978000,60.000000000,33822.93,33854.82,33854.82,33822.93,14922.70081034,0.440963,36
