p,q,T
33573.10000000,0.01488900,1625843462835
33582.46000000,0.01488700,1625843463835
33577.83000000,0.01488700,1625843470835
33586.28000000,0.01488600,1625843473835
33585.00000000,0.01488700,1625843476837
33584.25000000,0.01488700,1625843478832
33571.03000000,0.01489200,1625843485832
33575.09000000,0.01489100,1625843486834
33570.01000000,0.01489300,1625843491833
33573.56000000,0.01489300,1625843492874
33574.50000000,0.01489300,1625843495838
33570.02000000,0.01489300,1625843500843
33570.05000000,0.01489300,1625843502837
33570.05000000,0.01489500,1625843505839
33570.06000000,0.01489300,1625843507841
33568.65000000,0.01489500,1625843511836
33566.25000000,0.01489600,1625843517839
33567.87000000,0.01489600,1625843518840
33567.91000000,0.01489000,1625843519840
33580.00000000,0.01488800,1625843521839
33579.48000000,0.01488800,1625843523841
33579.93000000,0.01489000,1625843526839
33579.99000000,0.01488800,1625843529841
33569.40000000,0.01489500,1625843533843
33569.41000000,0.01489500,1625843534839
33560.08000000,0.01489800,1625843541844
33562.74000000,0.01489700,1625843543842
33562.53000000,0.01489800,1625843549845
33560.69000000,0.01489700,1625843553847
33563.92000000,0.01489700,1625843555841
33559.99000000,0.01489800,1625843561841
33562.47000000,0.01488800,1625843563853
33586.05000000,0.01488700,1625843564845
33581.63000000,0.01488800,1625843570841
33584.31000000,0.01488700,1625843571842
33587.57000000,0.01488700,1625843572845
33584.32000000,0.01488700,1625843574850
33582.40000000,0.01488800,1625843577840
33584.31000000,0.01488800,1625843581843
33584.74000000,0.01488700,1625843583844
33587.57000000,0.01488700,1625843584844
33587.59000000,0.01488700,1625843588842
33587.99000000,0.01488700,1625843589843
33586.59000000,0.01488500,1625843592844
33589.99000000,0.01488500,1625843593843
33588.48000000,0.01488500,1625843598844
33588.55000000,0.01452900,1625843613844
33588.49000000,0.01488600,1625843616845
33574.24000000,0.01489100,1625843621855
33579.09000000,0.01488600,1625843625850
33584.67000000,0.01488500,1625843630845
33590.98000000,0.01452700,1625843636844
33585.42000000,0.01488800,1625843655848
33585.44000000,0.01488700,1625843656844
33587.71000000,0.01487800,1625843659854
33599.99000000,0.01487600,1625843660848
33607.21000000,0.01428200,1625843662849
33608.97000000,0.01487600,1625843663844
33604.22000000,0.01427800,1625843671848
33604.27000000,0.01487900,1625843675845
33604.29000000,0.01487900,1625843677844
33604.27000000,0.01487700,1625843681844
33605.17000000,0.01487800,1625843686846
33607.62000000,0.01487800,1625843688847
33605.35000000,0.01487800,1625843694849
33607.58000000,0.01487700,1625843695846
33608.95000000,0.01487700,1625843696845
33606.99000000,0.01487800,1625843699849
33607.62000000,0.01487800,1625843700851
33607.64000000,0.01487600,1625843701855
33612.90000000,0.01486800,1625843703852
33624.99000000,0.01452000,1625843704853
33629.23000000,0.01486300,1625843705851
33617.58000000,0.01487200,1625843710849
33618.96000000,0.01486900,1625843712851
33592.66000000,0.00299600,1625843721348
33589.41000000,0.00299600,1625843722355
33589.41000000,0.01189000,1625843722852
33585.76000000,0.00210000,1625843725889
33585.77000000,0.01488800,1625843726851
33585.79000000,0.01488800,1625843729848
33585.01000000,0.01488800,1625843737851
33579.23000000,0.01212100,1625843740903
33575.00000000,0.01489500,1625843745901
33629.23000000,0.01258000,1625843746246
