p,q,T
33340.55000000,0.01499500,1625839433650
33342.29000000,0.01499500,1625839437648
33345.20000000,0.01499500,1625839439647
33341.05000000,0.01499500,1625839441645
33344.50000000,0.01499500,1625839442648
33340.49000000,0.01399700,1625839445650
33341.35000000,0.01499500,1625839446650
33346.08000000,0.01499500,1625839447647
33346.52000000,0.01499300,1625839449646
33356.64000000,0.01498900,1625839450649
33346.59000000,0.01499300,1625839454650
33350.21000000,0.01499100,1625839457647
33355.46000000,0.01499000,1625839458648
33356.00000000,0.01498900,1625839459651
33353.02000000,0.01498900,1625839462651
33353.03000000,0.01499200,1625839464654
33353.04000000,0.01499100,1625839466655
33355.56000000,0.01499000,1625839467648
33357.24000000,0.01498600,1625839468656
33364.85000000,0.01498600,1625839470648
33366.45000000,0.01498600,1625839471649
33360.22000000,0.01498700,1625839475648
33363.84000000,0.01498600,1625839476655
33362.92000000,0.01498600,1625839480648
33362.94000000,0.01498600,1625839482648
33365.67000000,0.01498600,1625839484654
33365.04000000,0.01498500,1625839486652
33367.24000000,0.01498500,1625839487648
33367.25000000,0.01498400,1625839489657
33369.88000000,0.01498200,1625839490655
33375.59000000,0.01498000,1625839491654
33377.22000000,0.01497900,1625839493655
33373.71000000,0.01498200,1625839497656
33371.13000000,0.01498200,1625839499654
33360.67000000,0.01498700,1625839503657
33360.67000000,0.01398800,1625839513657
33362.60000000,0.01498700,1625839515655
33362.79000000,0.01498700,1625839516658
33362.84000000,0.01498500,1625839517656
33367.20000000,0.01498300,1625839518657
33367.64000000,0.01498400,1625839523663
33370.23000000,0.01498400,1625839526655
33370.27000000,0.01498300,1625839527655
33372.96000000,0.01498100,1625839528660
33377.05000000,0.01498100,1625839529658
33377.47000000,0.01498000,1625839530656
33379.52000000,0.01497700,1625839531658
33386.35000000,0.01497600,1625839532657
33388.47000000,0.01497500,1625839535657
33380.82000000,0.01497500,1625839540656
33383.19000000,0.01497700,1625839544657
33386.35000000,0.01497500,1625839545657
33389.98000000,0.01497500,1625839546661
33389.99000000,0.01497500,1625839547657
33372.53000000,0.01498000,1625839553662
33373.61000000,0.01498200,1625839555660
33374.89000000,0.01498100,1625839556658
33382.34000000,0.01497800,1625839557660
33382.43000000,0.01497800,1625839558658
33383.66000000,0.01497700,1625839559657
33385.76000000,0.01497700,1625839561659
33386.34000000,0.00915400,1625839563430
33386.34000000,0.00582300,1625839564661
33389.99000000,0.01497200,1625839567663
33396.79000000,0.01497100,1625839569658
33390.50000000,0.01497400,1625839576659
33391.62000000,0.01497400,1625839579660
33391.62000000,0.01497400,1625839584658
33377.06000000,0.01497900,1625839596660
33377.02000000,0.01398100,1625839599660
33372.75000000,0.01398300,1625839604658
33372.71000000,0.01498300,1625839607696
33372.75000000,0.01498300,1625839609663
33373.09000000,0.01498100,1625839610662
33376.99000000,0.01498100,1625839612659
33377.01000000,0.01498000,1625839615662
33379.35000000,0.01497900,1625839616660
33381.02000000,0.01497900,1625839620664
33369.50000000,0.01498200,1625839628664
33367.19000000,0.00915400,1625839632380
33367.20000000,0.01398500,1625839632663
33346.13000000,0.01499300,1625839635665
33350.00000000,0.01498900,1625839636663
33350.35000000,0.01499200,1625839644664
33352.28000000,0.01499100,1625839646661
33346.53000000,0.01499200,1625839655664
33347.72000000,0.01499400,1625839657662
33347.89000000,0.01499400,1625839658663
33347.90000000,0.01499300,1625839659664
33350.61000000,0.01499200,1625839660663
33355.78000000,0.01499000,1625839663665
33357.39000000,0.01498900,1625839664665
33359.15000000,0.01498600,1625839665667
33359.11000000,0.01498900,1625839671665
33359.44000000,0.01498700,1625839672663
33362.28000000,0.01498700,1625839674669
33362.32000000,0.01498700,1625839676678
33354.53000000,0.01498900,1625839688673
33354.98000000,0.01499000,1625839690663
33354.47000000,0.01399100,1625839707666
33357.99000000,0.01498900,1625839708665
33358.20000000,0.01498900,1625839709666
33354.47000000,0.01499000,1625839711667
33357.78000000,0.01498900,1625839712667
33357.83000000,0.01498900,1625839713666
33352.16000000,0.01499200,1625839736666
33352.21000000,0.01499100,1625839738671
33354.52000000,0.01499000,1625839740669
33348.01000000,0.01000000,1625839755403
33348.01000000,0.00399400,1625839757666
33348.05000000,0.01499200,1625839758675
33351.22000000,0.01499100,1625839760667
33355.08000000,0.01498900,1625839761669
33344.65000000,0.01399500,1625839767669
33344.67000000,0.01499500,1625839768677
33344.68000000,0.01399500,1625839769666
33346.92000000,0.01499400,1625839770679
33347.09000000,0.01499300,1625839772671
33349.32000000,0.01499300,1625839773670
33350.52000000,0.01499300,1625839775667
33349.67000000,0.01499300,1625839783668
33343.39000000,0.01499400,1625839790668
33348.12000000,0.01499300,1625839791667
33347.93000000,0.01499400,1625839794672
33345.05000000,0.01499400,1625839800668
33346.71000000,0.01499100,1625839801681
33353.36000000,0.01498900,1625839802676
33359.99000000,0.01498800,1625839803718
33360.23000000,0.01498800,1625839804669
33362.17000000,0.01498500,1625839807672
33362.22000000,0.01498600,1625839809670
33359.10000000,0.01498700,1625839814671
33361.58000000,0.01498600,1625839816670
33360.14000000,0.01498800,1625839820671
33360.53000000,0.01498800,1625839823673
33345.05000000,0.00240000,1625839825688
33359.65000000,0.01498900,1625839826670
33354.44000000,0.01499100,1625839834673
33354.62000000,0.01499000,1625839837671
33350.00000000,0.01399300,1625839840673
33355.77000000,0.01499000,1625839841671
33354.63000000,0.01498900,1625839847673
33356.10000000,0.01499000,1625839852671
33357.29000000,0.01498900,1625839854677
33358.23000000,0.01498900,1625839855672
33355.03000000,0.00359600,1625839864415
33355.04000000,0.01499100,1625839865673
33355.28000000,0.01498900,1625839866675
33360.00000000,0.01453900,1625839874673
33366.85000000,0.01498500,1625839875674
33368.74000000,0.01498100,1625839877677
33376.99000000,0.01498100,1625839880672
33377.05000000,0.01498000,1625839883675
33379.45000000,0.01497900,1625839884677
33384.10000000,0.01452900,1625839886674
33384.99000000,0.01497600,1625839887675
33387.25000000,0.01497600,1625839888686
33388.09000000,0.01497600,1625839890673
33382.07000000,0.01497800,1625839899674
33383.69000000,0.01497700,1625839900681
33376.40000000,0.01498100,1625839903675
33368.37000000,0.01498400,1625839910675
33370.99000000,0.01498200,1625839912676
33373.97000000,0.01498100,1625839913675
33370.10000000,0.01498300,1625839918674
33371.76000000,0.01498300,1625839920677
33372.81000000,0.01498100,1625839921678
33360.00000000,0.00915600,1625839924345
33352.81000000,0.01399200,1625839926678
33356.34000000,0.01499000,1625839927675
33356.35000000,0.01498900,1625839931678
33358.48000000,0.01498700,1625839932676
33362.53000000,0.01498600,1625839933679
33362.01000000,0.01498600,1625839935677
33356.34000000,0.01498900,1625839943676
33357.30000000,0.01000000,1625839944674
33361.88000000,0.00498800,1625839944674
33361.89000000,0.01000000,1625839944924
33358.00000000,0.01498800,1625839946676
33361.00000000,0.01498800,1625839948676
33361.02000000,0.01498700,1625839953678
33363.21000000,0.01498700,1625839956676
33363.97000000,0.01498700,1625839959677
33364.01000000,0.01498600,1625839967678
33369.95000000,0.01453400,1625839968677
33371.48000000,0.01498300,1625839969681
33365.71000000,0.01498500,1625839971678
33368.37000000,0.01498400,1625839972676
33370.63000000,0.01498300,1625839973678
33365.72000000,0.01498600,1625839976678
33366.22000000,0.01498400,1625839981678
33368.98000000,0.01498400,1625839987678
33369.22000000,0.01498400,1625839989684
33370.99000000,0.01498300,1625839990678
33372.44000000,0.01497800,1625839992764
33377.58000000,0.01498100,1625839995680
33372.60000000,0.01498100,1625839999681
33377.37000000,0.01497900,1625840002688
33371.81000000,0.01498200,1625840014681
33374.40000000,0.01498200,1625840018706
33372.12000000,0.01498200,1625840022679
33374.40000000,0.01498100,1625840026699
33376.31000000,0.01498100,1625840027681
33373.67000000,0.01498200,1625840032682
33373.38000000,0.01498200,1625840035681
33373.12000000,0.01498200,1625840046682
33374.40000000,0.01498200,1625840049682
33374.96000000,0.01497900,1625840051685
33379.97000000,0.01497700,1625840053683
33385.01000000,0.01497700,1625840054683
33386.32000000,0.01497300,1625840055692
33395.08000000,0.01497100,1625840056683
33399.00000000,0.01497100,1625840058686
33399.99000000,0.01496600,1625840059689
33396.65000000,0.01497200,1625840062686
33386.01000000,0.01497600,1625840069690
33387.57000000,0.01497500,1625840070684
33390.31000000,0.01497400,1625840074684
33393.04000000,0.01497300,1625840075684
33392.82000000,0.00269700,1625840078511
33384.74000000,0.01397700,1625840086489
33409.99000000,0.00438400,1625840086489
33385.37000000,0.01397700,1625840087685
33388.78000000,0.01497500,1625840090688
33389.47000000,0.01497400,1625840092687
33392.82000000,0.01496300,1625840093711
33392.82000000,0.00200000,1625840094741
33405.42000000,0.00200000,1625840094741
33409.99000000,0.01058600,1625840094741
33415.03000000,0.00200000,1625840096182
33404.05000000,0.01496700,1625840099688
33386.75000000,0.01497500,1625840107690
33364.94000000,0.01498600,1625840115685
33365.58000000,0.01498500,1625840116687
33367.70000000,0.01498500,1625840117685
33364.57000000,0.01398600,1625840119686
33364.63000000,0.01498200,1625840125686
33368.65000000,0.01498300,1625840128689
33364.01000000,0.01498400,1625840132686
33365.47000000,0.01498400,1625840135697
33369.41000000,0.01498400,1625840136687
33368.80000000,0.01498400,1625840139687
33369.51000000,0.01498300,1625840140719
33372.00000000,0.01498300,1625840141684
33372.18000000,0.01498300,1625840145509
33360.00000000,0.00337800,1625840145509
33360.00000000,0.01161200,1625840156739
33357.26000000,0.00337800,1625840157686
33357.28000000,0.01399000,1625840160686
33357.30000000,0.01498900,1625840161686
33358.11000000,0.01498900,1625840162687
33350.00000000,0.00815600,1625840163055
33359.03000000,0.01498800,1625840165691
33361.00000000,0.01498700,1625840166689
33358.60000000,0.01498800,1625840168688
33360.27000000,0.01398700,1625840169688
33363.95000000,0.01498700,1625840171688
33363.96000000,0.01498400,1625840172692
33366.46000000,0.01498400,1625840174690
33362.68000000,0.01498700,1625840181687
33363.95000000,0.01498500,1625840184690
33368.10000000,0.01498500,1625840185691
33368.18000000,0.01498400,1625840186689
33369.00000000,0.01498400,1625840187693
33370.99000000,0.01498200,1625840190691
33372.68000000,0.01498200,1625840192690
33375.00000000,0.01498200,1625840193690
33375.01000000,0.01498000,1625840194688
33376.23000000,0.01498100,1625840210690
33373.94000000,0.01498100,1625840213690
33376.25000000,0.01498000,1625840214689
33373.83000000,0.01498200,1625840219693
33374.33000000,0.01497900,1625840221691
33374.33000000,0.01497500,1625840226696
33389.51000000,0.01497100,1625840227698
33398.66000000,0.01496800,1625840228697
33402.54000000,0.00914100,1625840231613
33395.18000000,0.01496800,1625840234693
33402.36000000,0.01497000,1625840239695
33402.36000000,0.01495900,1625840241708
33409.99000000,0.01495800,1625840242781
33401.55000000,0.01496900,1625840246687
33408.00000000,0.01496600,1625840247687
33410.00000000,0.01496400,1625840248709
33415.01000000,0.01496300,1625840249688
33414.28000000,0.01496400,1625840251692
33415.20000000,0.01496300,1625840252688
33413.16000000,0.01496400,1625840256687
33414.70000000,0.01495900,1625840258690
33422.01000000,0.01496000,1625840260688
33423.41000000,0.01495600,1625840263701
33424.99000000,0.01495600,1625840264690
33432.33000000,0.01494400,1625840265689
33430.93000000,0.01495600,1625840267688
33425.11000000,0.01495100,1625840270710
33426.60000000,0.01495600,1625840275688
33430.17000000,0.01495600,1625840278688
33431.71000000,0.01495600,1625840282690
33402.41000000,0.01496900,1625840292691
33401.22000000,0.01297000,1625840294687
33404.70000000,0.01496700,1625840295689
33405.21000000,0.01496700,1625840299687
33408.15000000,0.01496500,1625840300693
33411.31000000,0.00300000,1625840302066
33411.32000000,0.01496400,1625840302690
33413.93000000,0.01496100,1625840303699
33416.58000000,0.01496300,1625840306691
33417.31000000,0.01496300,1625840307690
33415.08000000,0.01496400,1625840310693
33415.09000000,0.01496200,1625840311699
33416.22000000,0.01000000,1625840313428
33408.87000000,0.01496600,1625840324691
33409.68000000,0.01496600,1625840328690
33409.75000000,0.01496600,1625840329693
33409.79000000,0.01496600,1625840330688
33408.62000000,0.01396700,1625840332696
33409.34000000,0.01496600,1625840336691
33411.03000000,0.01496400,1625840337696
33413.57000000,0.01496400,1625840338690
33415.06000000,0.01100000,1625840341239
33411.25000000,0.01496500,1625840348691
33375.00000000,0.00900000,1625840349342
33411.90000000,0.01496500,1625840349692
33412.05000000,0.00200000,1625840351572
33408.88000000,0.01496600,1625840358690
33410.00000000,0.01496400,1625840362693
33412.05000000,0.01495900,1625840363698
33412.05000000,0.01496100,1625840364708
33412.05000000,0.00407900,1625840365691
33420.68000000,0.01495400,1625840367699
33434.25000000,0.01495400,1625840368697
33434.25000000,0.00785100,1625840369693
33437.23000000,0.00710200,1625840369693
33433.14000000,0.01100000,1625840377383
33433.15000000,0.01494800,1625840378704
33439.99000000,0.01494500,1625840379700
33449.99000000,0.01492800,1625840380698
33450.06000000,0.00359800,1625840381742
33455.44000000,0.01494100,1625840382695
33458.00000000,0.00251900,1625840383706
33459.99000000,0.01242300,1625840383706
33459.99000000,0.00252700,1625840384693
33463.76000000,0.01241400,1625840384693
33465.47000000,0.01494000,1625840385695
33469.02000000,0.01493800,1625840386693
33465.31000000,0.01494100,1625840391692
33463.46000000,0.01103700,1625840392915
33462.64000000,0.01494100,1625840394701
33466.14000000,0.01000000,1625840394935
33410.00000000,0.01000000,1625840395129
33462.60000000,0.01494200,1625840396693
33456.78000000,0.01494400,1625840400695
33455.59000000,0.01494300,1625840402695
33453.89000000,0.01394600,1625840404694
33456.68000000,0.01494400,1625840406698
33461.49000000,0.01494100,1625840407696
33467.33000000,0.01493800,1625840409694
33471.98000000,0.01493800,1625840410693
33472.70000000,0.01493700,1625840411697
33474.99000000,0.01493500,1625840412701
33479.27000000,0.01493000,1625840413701
33480.00000000,0.01493400,1625840414697
33481.30000000,0.01493300,1625840415697
33484.00000000,0.01493300,1625840417699
33484.25000000,0.01493000,1625840418698
33484.25000000,0.00777800,1625840419697
33489.79000000,0.00715200,1625840419697
33489.99000000,0.01492800,1625840420697
33495.00000000,0.01491600,1625840421695
33498.83000000,0.01492500,1625840422696
33502.53000000,0.01492400,1625840423695
33505.01000000,0.01492000,1625840425699
33513.54000000,0.01491000,1625840426722
33534.25000000,0.01491000,1625840427715
33534.25000000,0.00769400,1625840428705
33536.00000000,0.00719900,1625840428705
33549.99000000,0.01488900,1625840429707
33559.99000000,0.01485200,1625840430716
33574.99000000,0.01481300,1625840431706
33584.25000000,0.01477100,1625840432704
33584.25000000,0.00772000,1625840433702
33589.99000000,0.00713400,1625840433702
33589.99000000,0.00775600,1625840434723
33599.99000000,0.00709900,1625840434723
33599.99000000,0.00779100,1625840435714
33609.99000000,0.00705700,1625840435714
33609.99000000,0.00782300,1625840436714
33624.99000000,0.00702700,1625840436714
33624.99000000,0.00785100,1625840437793
33634.25000000,0.00699800,1625840437793
33634.25000000,0.01485600,1625840438713
33639.99000000,0.01434200,1625840439715
33643.89000000,0.00543000,1625840441062
33628.54000000,0.01486000,1625840443720
33584.25000000,0.00430600,1625840444538
33618.65000000,0.01487200,1625840448697
33609.92000000,0.01487600,1625840452697
