p,q,T
32890.00000000,0.01520300,1625834812494
32892.67000000,0.01519900,1625834814440
32875.00000000,0.00999300,1625834814498
32887.50000000,0.01000000,1625834816521
32887.51000000,0.01520200,1625834817441
32892.41000000,0.01459400,1625834818440
32892.40000000,0.01520000,1625834822444
32893.62000000,0.01520000,1625834824441
32894.45000000,0.01520000,1625834828444
32893.77000000,0.01520000,1625834831440
32893.77000000,0.01520000,1625834834443
32895.27000000,0.01519900,1625834835442
32896.40000000,0.01519800,1625834837442
32894.29000000,0.01520000,1625834842441
32895.26000000,0.01520000,1625834843440
32894.29000000,0.01520000,1625834845441
32895.93000000,0.01459300,1625834847445
32899.99000000,0.01460600,1625834848444
32909.99000000,0.01519300,1625834849442
32910.47000000,0.01519100,1625834854445
32902.66000000,0.01519500,1625834862443
32905.99000000,0.01519500,1625834865451
32907.63000000,0.01519300,1625834866442
32910.00000000,0.01519200,1625834867451
32912.97000000,0.01519100,1625834868443
32910.65000000,0.01519200,1625834873446
32912.95000000,0.01519200,1625834877442
32912.85000000,0.01519200,1625834880443
32910.84000000,0.01519300,1625834882445
32912.97000000,0.01519100,1625834883443
32911.20000000,0.01519300,1625834885455
32911.92000000,0.01519300,1625834886448
32910.48000000,0.01519000,1625834891445
32916.20000000,0.01519100,1625834894448
32916.24000000,0.01518900,1625834897444
32918.83000000,0.00896300,1625834898443
32919.12000000,0.01518900,1625834899445
32919.97000000,0.01518700,1625834900445
32921.73000000,0.00627600,1625834901473
32920.64000000,0.01518800,1625834906445
32922.29000000,0.01518800,1625834907444
32922.36000000,0.01458100,1625834908446
32924.36000000,0.00378800,1625834909450
32926.43000000,0.00365500,1625834909450
32930.09000000,0.00773900,1625834909450
32933.63000000,0.00215200,1625834910451
32934.28000000,0.00803200,1625834910451
32935.48000000,0.00499500,1625834910451
32936.54000000,0.01518100,1625834912446
32936.94000000,0.01518100,1625834913450
32935.62000000,0.01517900,1625834917445
32929.01000000,0.01518300,1625834920447
32932.25000000,0.01518300,1625834921449
32932.93000000,0.01517900,1625834923448
32938.65000000,0.01120000,1625834924449
32939.99000000,0.00397700,1625834924449
32939.99000000,0.01121000,1625834925447
32940.83000000,0.00255800,1625834925447
32945.43000000,0.01517500,1625834927449
32949.27000000,0.01517500,1625834928446
32949.99000000,0.01517400,1625834929446
32950.81000000,0.00247100,1625834930446
32938.00000000,0.01517800,1625834935446
32936.20000000,0.01418100,1625834938447
32920.67000000,0.01479600,1625834945446
32922.28000000,0.01518500,1625834951448
32928.48000000,0.01518200,1625834953457
32935.61000000,0.01518100,1625834954449
32937.57000000,0.01517800,1625834955449
32935.61000000,0.00200000,1625834956470
32927.02000000,0.01518500,1625834963454
32928.35000000,0.01000000,1625834967338
32928.36000000,0.01518300,1625834968447
32932.50000000,0.01518000,1625834969453
32940.00000000,0.01517900,1625834970450
32941.31000000,0.01517700,1625834973448
32945.52000000,0.01517500,1625834974453
32949.79000000,0.01517400,1625834977449
32951.99000000,0.01517300,1625834978450
32954.47000000,0.01516700,1625834982453
32955.97000000,0.00383700,1625834983475
32955.97000000,0.00383700,1625834983475
32956.94000000,0.00749500,1625834983475
32956.94000000,0.00528900,1625834984450
32958.12000000,0.00548100,1625834984450
32959.99000000,0.00439900,1625834984450
32959.99000000,0.01077800,1625834985450
32963.61000000,0.00439000,1625834985450
32965.14000000,0.01456200,1625834988449
