p,q,T
34538.53000000,0.01448000,1625679941194
34538.53000000,0.00549700,1625679942204
34538.50000000,0.00898300,1625679942204
34538.50000000,0.01181900,1625679942363
34531.98000000,0.01448000,1625679942363
34524.34000000,0.01448000,1625679943146
34549.99000000,0.01000000,1625679943664
34538.54000000,0.01448000,1625679944194
34532.02000000,0.01448000,1625679944476
34524.34000000,0.01448000,1625679945145
34524.37000000,0.01006400,1625679946148
34524.37000000,0.00441600,1625679946148
34524.37000000,0.01448000,1625679947146
34524.37000000,0.01510700,1625679947560
34524.99000000,0.01449000,1625679947560
34538.54000000,0.01448000,1625679948194
34537.92000000,0.01024400,1625679949196
34537.92000000,0.00423600,1625679949196
34537.92000000,0.01449000,1625679949591
34537.92000000,0.00682700,1625679950195
34537.92000000,0.00765300,1625679950195
34537.92000000,0.03476900,1625679950618
34531.99000000,0.01314300,1625679950731
34524.16000000,0.01448000,1625679951147
34499.99000000,0.01448100,1625679952170
34518.72000000,0.01446200,1625679953150
34489.99000000,0.01448100,1625679954148
34537.66000000,0.01448000,1625679955201
34531.99000000,0.01448000,1625679955767
34474.99000000,0.01448100,1625679956170
34522.20000000,0.01207800,1625679957148
34522.20000000,0.00237400,1625679957148
34522.20000000,0.03263000,1625679957654
34534.48000000,0.00796800,1625679958202
34534.48000000,0.00651200,1625679958202
34534.48000000,0.01451900,1625679958331
34534.48000000,0.01956700,1625679958656
34528.87000000,0.01448100,1625679958656
34521.33000000,0.01434600,1625679959149
34521.33000000,0.04439000,1625679959659
34521.33000000,0.00386900,1625679960148
34531.47000000,0.01448000,1625679960208
34534.49000000,0.02991000,1625679960662
34528.91000000,0.01061200,1625679960662
34521.33000000,0.00780400,1625679961148
34521.33000000,0.00667700,1625679961148
34521.33000000,0.04164900,1625679961662
34534.29000000,0.01448100,1625679962197
34534.29000000,0.01448100,1625679963202
34533.23000000,0.00423500,1625679964201
34533.23000000,0.01024600,1625679964201
34533.06000000,0.01448100,1625679965193
34533.06000000,0.05011700,1625679965687
34528.50000000,0.01421600,1625679965800
34518.72000000,0.01448100,1625679966153
34520.00000000,0.01448100,1625679967149
34520.23000000,0.01334900,1625679968147
34520.23000000,0.01348200,1625679968695
34532.01000000,0.01448100,1625679969196
34532.03000000,0.01448100,1625679970201
34532.17000000,0.01448100,1625679971208
34532.14000000,0.00894200,1625679972196
