beginTime,endTime,timePeriod,openPrice,closePrice,highPrice,lowPrice,amount,volume,trades
1622145960.000352000,1622145970.000352000,10.000000000,38675.02,38666.86,38683.09,38666.86,1500.03971773,0.038786,3
1622145970.029088000,1622145980.029088000,10.000000000,38666.86,38656.32,38666.86,38656.32,1499.9966095,0.0388,3
1622145980.002661000,1622145990.002661000,10.000000000,38656.32,38619.6,38656.32,38619.6,1500.00585215,0.03882,4
1622145990.005418000,1622146000.005418000,10.000000000,38619.6,38626.47,38628.58,38618.88,2499.8266423,0.064719,5
1622146000.003020000,1622146010.003020000,10.000000000,38626.47,38624.64,38628.23,38624.64,999.84527536,0.025885,2
1622146010.002684000,1622146020.002684000,10.000000000,38624.64,38594.49,38624.64,38594.49,967.03739961,0.025055,3
1622146020.002952000,1622146030.002952000,10.000000000,38594.49,38592.01,38594.49,38592.01,1499.85555331,0.038864,3
1622146030.002069000,1622146040.002069000,10.000000000,38592.01,38622.23,38622.23,38592.01,3999.72065646,0.10359,8
1622146040.002128000,1622146050.002128000,10.000000000,38622.23,38624.65,38624.65,38613.5,2499.97832805,0.064733,5
1622146260.000859000,1622146270.000859000,10.000000000,38762.8,38779.34,38779.34,38762.8,1499.89513671,0.038685,4
1622146270.027971000,1622146280.027971000,10.000000000,38779.34,38770.95,38779.34,38762.85,999.8758767,0.025792,2
1622146280.002447000,1622146290.002447000,10.000000000,38770.95,38778.43,38778.43,38750.83,1999.77749655,0.05159,4
1622146290.005300000,1622146300.005300000,10.000000000,38778.43,38783.25,38794.06,38778.43,2999.69022969,0.077337,7
1622146300.002314000,1622146310.002314000,10.000000000,38783.25,38814.02,38814.02,38783.25,2999.60963032,0.077303,6
1622146310.002586000,1622146320.002586000,10.000000000,38814.02,38824.98,38824.98,38814.02,2500.02068915,0.064399,5
1622146320.002720000,1622146330.002720000,10.000000000,38824.98,38791.23,38824.98,38789.23,1499.97592257,0.038669,3
1622146330.003167000,1622146340.003167000,10.000000000,38791.23,38793.66,38793.66,38771.42,2499.74752225,0.064453,5
1622146340.001752000,1622146350.001752000,10.000000000,38793.66,38800.24,38800.24,38788.01,1999.89511265,0.051549,4
1622146350.002698000,1622146360.002698000,10.000000000,38800.24,38784.94,38800.24,38782.51,693.90881892,0.017892,2
1622146360.002093000,1622146370.002093000,10.000000000,38784.94,38799.27,38799.27,38771.42,3499.73785199,0.090236,7
1622146370.004814000,1622146380.004814000,10.000000000,38799.27,38799.98,38799.98,38799.27,499.97654228,0.012886,1
1622146380.002612000,1622146390.002612000,10.000000000,38799.98,38800.8,38800.8,38772.89,3499.78847853,0.090227,7
1622146390.003035000,1622146400.003035000,10.000000000,38800.8,38796.01,38807.08,38789.37,1499.87198908,0.038659,3
1622146400.002695000,1622146410.002695000,10.000000000,38796.01,38796.24,38796.24,38784.02,1999.86768194,0.051553,4
1622146410.003183000,1622146420.003183000,10.000000000,38796.24,38804.29,38809.63,38796.24,3499.7733071,0.090196,7
1622146420.008007000,1622146430.008007000,10.000000000,38804.29,38809.74,38809.74,38804.29,1499.95161544,0.03865,3
1622146430.002391000,1622146440.002391000,10.000000000,38809.74,38807.0,38809.74,38807.0,499.989388,0.012884,1
1622146440.003952000,1622146450.003952000,10.000000000,38807.0,38781.92,38807.0,38780.01,2000.00909052,0.051572,4
1622146450.003210000,1622146460.003210000,10.000000000,38781.92,38766.36,38781.92,38766.36,643.79961215,0.016605,2
1622146460.003139000,1622146470.003139000,10.000000000,38766.36,38763.01,38766.36,38763.01,500.00406599,0.012899,1
1622146470.002448000,1622146480.002448000,10.000000000,38763.01,38763.01,38763.01,38736.31,3499.82588169,0.090315,7
1622146480.003133000,1622146490.003133000,10.000000000,38763.01,38764.8,38769.1,38758.74,1499.86492646,0.038692,3
1622146490.001941000,1622146500.001941000,10.000000000,38764.8,38727.65,38764.8,38727.65,1499.9849885,0.038714,3
1622146500.002067000,1622146510.002067000,10.000000000,38727.65,38722.38,38727.65,38716.18,1638.99925678,0.042329,6
1622146540.000939000,1622146550.000939000,10.000000000,38682.58,38700.99,38700.99,38680.85,3499.75105356,0.090455,7
1622146550.027783000,1622146560.027783000,10.000000000,38700.99,38703.61,38703.61,38696.43,2999.91719531,0.077517,6
1622146560.003288000,1622146570.003288000,10.000000000,38703.61,38669.12,38703.61,38669.12,999.87718744,0.025846,2
1622146570.005405000,1622146580.005405000,10.000000000,38669.12,38669.12,38669.12,38669.12,0.0,0.0,0
1622146580.003133000,1622146590.003133000,10.000000000,38669.12,38658.96,38669.12,38645.67,1999.77249216,0.051738,4
1622146590.002521000,1622146600.002521000,10.000000000,38658.96,38665.99,38665.99,38658.96,2500.01357227,0.064663,5
1622146590.002521000,1622146600.002521000,10.000000000,38658.96,38665.99,38665.99,38658.96,2500.01357227,0.064663,0
1622146760.010800000,1622146770.010800000,10.000000000,38665.99,38694.95,38694.95,38665.99,3499.69400253,0.090463,7
1622146770.002163000,1622146780.002163000,10.000000000,38694.95,38701.07,38711.52,38688.81,2499.74996177,0.064593,6
1622146780.002297000,1622146790.002297000,10.000000000,38701.07,38695.09,38701.07,38694.5,1499.67853424,0.038756,3
1622146790.002723000,1622146800.002723000,10.000000000,38695.09,38681.97,38699.01,38671.58,2499.74546877,0.064624,5
1622146800.002977000,1622146810.002977000,10.000000000,38681.97,38650.01,38681.97,38650.01,499.89922934,0.012934,1
1622146810.001990000,1622146820.001990000,10.000000000,38650.01,38677.97,38677.97,38647.71,3499.80822949,0.090525,7
1622146820.002206000,1622146830.002206000,10.000000000,38677.97,38679.58,38679.58,38670.68,1999.88109208,0.051708,4
1622146830.002157000,1622146840.002157000,10.000000000,38679.58,38657.68,38679.58,38650.01,1499.6631302,0.038796,3
1622146900.001085000,1622146910.001085000,10.000000000,38728.9,38731.62,38731.62,38728.9,3000.00785074,0.077457,6
