beginTime,endTime,timePeriod,openPrice,closePrice,highPrice,lowPrice,amount,volume,trades
1624641970.000703000,1624641975.000703000,5.000000000,31968.4,31958.68,31968.4,31958.68,499.96158992,0.015644,1
1624641975.027674000,1624641980.027674000,5.000000000,31958.68,31955.01,31958.68,31953.3,1000.00527987,0.031295,2
1624641980.003483000,1624641985.003483000,5.000000000,31955.01,31962.61,31962.61,31955.01,999.6793826,0.03128,2
1624641985.005632000,1624641990.005632000,5.000000000,31962.61,31941.64,31962.61,31941.64,499.98249092,0.015653,1
1624641990.003329000,1624641995.003329000,5.000000000,31941.64,31938.24,31941.64,31933.59,1499.9465547,0.046967,4
1624641995.002617000,1624642000.002617000,5.000000000,31938.24,31946.63,31946.63,31938.24,999.97700563,0.031304,2
1624642000.002856000,1624642005.002856000,5.000000000,31946.63,31944.0,31946.63,31944.0,499.987488,0.015652,1
1624642005.001958000,1624642010.001958000,5.000000000,31944.0,31932.01,31944.0,31921.02,999.36370659,0.031302,2
1624642010.002071000,1624642015.002071000,5.000000000,31932.01,31974.22,31974.22,31932.01,999.66848206,0.031271,2
1624642015.002047000,1624642020.002047000,5.000000000,31974.22,31955.64,31974.22,31955.64,319.5564,0.01,1
1624642020.001892000,1624642025.001892000,5.000000000,31955.64,31941.57,31955.64,31941.57,499.91751207,0.015651,1
1624642025.005034000,1624642030.005034000,5.000000000,31941.57,31941.57,31941.57,31941.57,0.0,0.0,0
1624642030.002610000,1624642035.002610000,5.000000000,31941.57,31905.24,31941.57,31905.24,1499.80611099,0.047001,3
1624642035.003372000,1624642040.003372000,5.000000000,31905.24,31904.43,31910.99,31904.43,1499.92916313,0.047009,3
1624642040.003427000,1624642045.003427000,5.000000000,31904.43,31900.0,31916.98,31900.0,1019.82191707,0.031958,3
1624642045.003770000,1624642050.003770000,5.000000000,31900.0,31892.09,31900.0,31884.9,1999.80710667,0.062712,4
1624642050.007948000,1624642055.007948000,5.000000000,31892.09,31878.68,31894.88,31878.68,999.71434276,0.031352,2
1624642055.003205000,1624642060.003205000,5.000000000,31878.68,31894.9,31894.9,31878.68,999.68278776,0.031345,2
1624642060.003332000,1624642065.003332000,5.000000000,31894.9,31906.96,31906.96,31894.9,499.79062144,0.015664,1
1624642065.003470000,1624642070.003470000,5.000000000,31906.96,31924.0,31924.0,31906.96,1499.62563948,0.046982,3
1624642070.002721000,1624642075.002721000,5.000000000,31924.0,31924.0,31924.0,31924.0,0.0,0.0,0
1624642075.002957000,1624642080.002957000,5.000000000,31924.0,31895.58,31924.0,31895.58,499.8037386,0.01567,1
1624642080.002124000,1624642085.002124000,5.000000000,31895.58,31913.84,31918.35,31895.58,1499.56057534,0.046988,3
