beginTime,endTime,timePeriod,openPrice,closePrice,highPrice,lowPrice,amount,volume,trades,dateName,bearish,bullish
1621979565.000757000,1621979570.000757000,5.000000000,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-05-26T00:52:50.000757,false,false
1621979570.025868000,1621979575.025868000,5.000000000,37904.73,37904.73,37904.73,37904.73,500.00129343,0.013191,1,2021-05-26T00:52:55.025868,false,false
1621979575.002720000,1621979580.002720000,5.000000000,37904.73,37896.48,37904.73,37896.48,500.00615712,0.013194,1,2021-05-26T00:53:00.00272,true,false
1621979580.003370000,1621979585.003370000,5.000000000,37896.48,37900.01,37900.01,37896.48,500.01483193,0.013193,1,2021-05-26T00:53:05.00337,false,true
1621979585.005525000,1621979590.005525000,5.000000000,37900.01,37900.01,37900.01,37900.01,0.0,0.0,0,2021-05-26T00:53:10.005525,false,false
1621979715.000594000,1621979720.000594000,5.000000000,37170.33,37876.18,37885.48,37170.33,1029.1827711,0.027175,4,2021-05-26T00:55:20.000594,false,true
1621979720.027466000,1621979725.027466000,5.000000000,37876.18,37868.34,37876.19,37868.34,1014.74954441,0.026794,3,2021-05-26T00:55:25.027466,true,false
1621979725.003427000,1621979730.003427000,5.000000000,37868.34,37170.33,37871.97,37170.33,529.09011633,0.013985,3,2021-05-26T00:55:30.003427,true,false
1621979730.005602000,1621979735.005602000,5.000000000,37170.33,37873.51,37873.51,37170.33,1029.57774435,0.027192,4,2021-05-26T00:55:35.005602,false,true
1621979735.003582000,1621979740.003582000,5.000000000,37873.51,37881.11,37881.11,37170.33,1029.76202158,0.027194,4,2021-05-26T00:55:40.003582,false,true
1621979740.002877000,1621979745.002877000,5.000000000,37881.11,37874.75,37881.11,37874.75,30.2262594,7.98E-4,2,2021-05-26T00:55:45.002877,true,false
1621979805.001407000,1621979810.001407000,5.000000000,37907.98,37906.57,37909.11,37901.17,532.42896197,0.014045,3,2021-05-26T00:56:50.001407,true,false
1621979810.027254000,1621979815.027254000,5.000000000,37906.57,37908.48,37908.48,37904.99,532.72554286,0.014053,3,2021-05-26T00:56:55.027254,false,true
1621979815.003097000,1621979820.003097000,5.000000000,37908.48,37909.93,37909.93,37908.48,16.41499969,4.33E-4,1,2021-05-26T00:57:00.003097,false,true
1621979820.005125000,1621979825.005125000,5.000000000,37909.93,37905.76,37909.93,30600.0,2029.8335902,0.053636,6,2021-05-26T00:57:05.005125,true,false
1621979825.002592000,1621979830.002592000,5.000000000,37905.76,37917.55,37917.55,30400.0,1510.02721351,0.040002,5,2021-05-26T00:57:10.002592,false,true
1621979830.003452000,1621979835.003452000,5.000000000,37917.55,30200.0,37918.04,30200.0,1030.07366978,0.027257,4,2021-05-26T00:57:15.003452,true,false
1621979835.002543000,1621979840.002543000,5.000000000,30200.0,37939.37,37939.37,30200.0,1033.59816801,0.027249,4,2021-05-26T00:57:20.002543,false,true
1621979840.002975000,1621979845.002975000,5.000000000,37939.37,37941.29,37941.29,37938.91,516.91107348,0.013624,2,2021-05-26T00:57:25.002975,false,true
1621979845.002141000,1621979850.002141000,5.000000000,37941.29,37936.05,37941.39,37936.05,534.06618072,0.014078,3,2021-05-26T00:57:30.002141,true,false
1621979850.002692000,1621979855.002692000,5.000000000,37936.05,37943.27,37943.27,37936.05,1034.20494736,0.027258,4,2021-05-26T00:57:35.002692,false,true
1621979855.002944000,1621979860.002944000,5.000000000,37943.27,29300.0,37956.35,29300.0,1026.63038889,0.027256,4,2021-05-26T00:57:40.002944,true,false
1621979860.004353000,1621979865.004353000,5.000000000,29300.0,37970.03,37970.03,29300.0,1034.69580549,0.027256,4,2021-05-26T00:57:45.004353,false,true
1621979865.003167000,1621979870.003167000,5.000000000,37970.03,37995.47,37995.47,29000.0,1495.82555805,0.039482,4,2021-05-26T00:57:50.003167,false,true
1621980180.000776000,1621980185.000776000,5.000000000,38002.32,38002.32,38002.32,38002.32,190.0116,0.005,1,2021-05-26T01:03:05.000776,false,false
1621980185.029426000,1621980190.029426000,5.000000000,38002.32,38000.37,38002.32,38000.37,380.00605,0.01,2,2021-05-26T01:03:10.029426,true,false
1621980190.003160000,1621980195.003160000,5.000000000,38000.37,38002.01,38002.01,38000.01,1000.03457916,0.026316,2,2021-05-26T01:03:15.00316,false,true
1621980195.005321000,1621980200.005321000,5.000000000,38002.01,38002.01,38002.01,38002.01,0.0,0.0,0,2021-05-26T01:03:20.005321,false,false
1621980200.003219000,1621980205.003219000,5.000000000,38002.01,38002.01,38002.01,38002.01,0.0,0.0,0,2021-05-26T01:03:25.003219,false,false
1621980205.002571000,1621980210.002571000,5.000000000,38002.01,37980.08,38002.01,37980.08,499.96977312,0.013164,1,2021-05-26T01:03:30.002571,true,false
1621980210.002774000,1621980215.002774000,5.000000000,37980.08,37983.39,37983.39,37980.08,999.99193896,0.026328,2,2021-05-26T01:03:35.002774,false,true
1621980305.001177000,1621980310.001177000,5.000000000,37911.77,37977.25,37977.25,37911.77,1999.21009726,0.052685,4,2021-05-26T01:05:10.001177,false,true
1621980310.035135000,1621980315.035135000,5.000000000,37977.25,38044.43,38044.43,37977.25,1999.33018518,0.05259,4,2021-05-26T01:05:15.035135,false,true
1621980315.003435000,1621980320.003435000,5.000000000,38044.43,38054.1,38054.1,38042.1,999.9420981,0.026281,2,2021-05-26T01:05:20.003435,false,true
1621980320.006776000,1621980325.006776000,5.000000000,38054.1,38054.1,38054.1,38054.1,0.0,0.0,0,2021-05-26T01:05:25.006776,false,false
1621980325.003920000,1621980330.003920000,5.000000000,38054.1,38043.61,38054.1,38032.52,1499.78673576,0.039429,3,2021-05-26T01:05:30.00392,true,false
1621980330.003029000,1621980335.003029000,5.000000000,38043.61,38055.21,38055.21,38043.61,499.85518335,0.013135,1,2021-05-26T01:05:35.003029,false,true
1621980335.003254000,1621980340.003254000,5.000000000,38055.21,38059.33,38059.33,38055.21,499.94735888,0.013136,1,2021-05-26T01:05:40.003254,false,true
1621980340.002434000,1621980345.002434000,5.000000000,38059.33,38110.0,38110.0,38045.03,2498.6262936,0.065615,5,2021-05-26T01:05:45.002434,false,true
1621980345.002821000,1621980350.002821000,5.000000000,38110.0,38110.0,38110.0,38110.0,2496.05256,0.065496,5,2021-05-26T01:05:50.002821,false,false
